+-----+-------+------+-------+
| qid | docno | rank | score |
|  4  |  93   |  7   | 0.558 |
|  4  |  93   |  8   | 0.558 |
|  4  |  93   |  9   | 0.558 |
|  4  |  93   |  10  | 0.558 |
|  4  |  79   |  11  | 0.54  |
|  4  |  79   |  12  | 0.54  |
|  4  |  30   |  13  | 0.534 |
|  4  |  99   |  14  | 0.512 |
|  4  |  99   |  15  | 0.512 |
|  4  |  91   |  16  | 0.512 |
|  4  |  80   |  17  | 0.512 |
|  4  |  96   |  18  | 0.512 |
|  4  |  89   |  19  | 0.512 |
|  4  |  89   |  20  | 0.512 |
|  4  |  90   |  21  | 0.512 |
|  4  |  96   |  22  | 0.512 |
|  4  |  94   |  23  | 0.506 |
|  4  |  94   |  24  | 0.506 |
|  4  |  94   |  25  | 0.506 |
|  4  |  72   |  26  | 0.459 |
|  4  |  72   |  27  | 0.459 |
|  4  |  26   |  28  | 0.454 |
|  4  |  60   |  29  | 0.443 |
|  4  |  68   |  30  | 0.44  |
|  4  |  87   |  31  | 0.435 |
|  4  |  75   |  32  | 0.435 |
|  4  |  98   |  33  | 0.423 |
|  4  |  98   |  34  | 0.423 |
|  4  |  98   |  35  | 0.423 |
|  4  |  84   |  36  | 0.406 |
|  4  |  84   |  37  | 0.406 |
|  4  |  39   |  38  | 0.398 |
|  4  |  69   |  39  | 0.397 |
|  4  |  14   |  40  | 0.387 |
|  4  |  47   |  41  | 0.382 |
|  4  |  73   |  42  | 0.372 |
|  4  |  73   |  43  | 0.372 |
|  4  |  92   |  44  | 0.358 |
|  4  |  59   |  45  | 0.357 |
|  4  |  16   |  46  | 0.342 |
|  4  |  81   |  47  | 0.341 |
|  4  |  81   |  48  | 0.341 |
|  4  |  88   |  49  | 0.322 |
|  4  |  88   |  50  | 0.322 |
|  4  |  88   |  51  | 0.322 |
|  4  |  88   |  52  | 0.322 |
|  4  |  29   |  53  | 0.299 |
|  4  |  78   |  54  | 0.298 |
|  4  |  70   |  55  | 0.291 |
|  4  |  40   |  56  | 0.29  |
|  4  |  74   |  57  | 0.286 |
|  4  |  74   |  58  | 0.286 |
|  4  |  74   |  59  | 0.286 |
|  4  |  86   |  60  | 0.218 |
|  4  |  86   |  61  | 0.218 |
|  4  |  20   |  62  |  0.0  |
|  4  |  61   |  63  |  0.0  |
|  4  |  27   |  64  |  0.0  |
|  4  |  52   |  65  |  0.0  |
|  4  |  37   |  66  |  0.0  |
|  4  |  25   |  67  |  0.0  |
|  4  |  76   |  68  |  0.0  |
|  4  |  65   |  69  |  0.0  |
|  4  |  67   |  70  |  0.0  |
|  4  |  97   |  71  |  0.0  |
|  4  |  76   |  72  |  0.0  |
|  4  |  17   |  73  |  0.0  |
|  4  |  100  |  74  |  0.0  |
|  4  |  82   |  75  |  0.0  |
|  4  |  49   |  76  |  0.0  |
|  4  |  95   |  77  |  0.0  |
|  4  |  100  |  78  |  0.0  |
|  4  |  82   |  79  |  0.0  |
|  4  |  95   |  80  |  0.0  |
|  4  |  97   |  81  |  0.0  |
|  5  |  24   |  1   | 1.186 |
|  5  |  21   |  2   | 0.65  |
|  5  |  62   |  3   | 0.633 |
|  5  |   6   |  4   | 0.631 |
|  5  |   5   |  5   | 0.613 |
|  5  |  55   |  6   | 0.587 |
|  5  |  22   |  7   | 0.512 |
|  5  |  51   |  8   | 0.504 |
|  5  |   2   |  9   | 0.448 |
|  5  |  34   |  10  | 0.413 |
|  5  |  47   |  11  | 0.382 |
|  5  |  16   |  12  | 0.342 |
|  5  |  28   |  13  | 0.342 |
|  5  |   7   |  14  | 0.318 |
|  5  |  44   |  15  | 0.279 |
|  5  |  43   |  16  |  0.0  |
|  5  |  35   |  17  |  0.0  |
|  5  |  67   |  18  |  0.0  |
|  5  |  25   |  19  |  0.0  |
|  5  |  45   |  20  |  0.0  |
|  6  |  24   |  1   | 1.186 |
|  6  |   5   |  2   | 0.613 |
|  6  |  55   |  3   | 0.587 |
|  6  |  31   |  4   | 0.558 |
|  6  |  10   |  5   | 0.538 |
|  6  |  50   |  6   | 0.512 |
|  6  |  51   |  7   | 0.504 |
|  6  |  42   |  8   | 0.487 |
|  6  |  54   |  9   | 0.423 |
|  6  |  39   |  10  | 0.398 |
|  6  |  56   |  11  | 0.384 |
|  6  |  58   |  12  | 0.372 |
|  6  |  66   |  13  | 0.36  |
|  6  |  59   |  14  | 0.357 |
|  6  |  28   |  15  | 0.342 |
|  6  |  41   |  16  | 0.325 |
|  6  |   7   |  17  | 0.318 |
|  6  |  40   |  18  | 0.29  |
|  6  |  46   |  19  | 0.224 |
|  6  |   4   |  20  |  0.0  |
|  6  |  61   |  21  |  0.0  |
|  6  |  37   |  22  |  0.0  |
|  6  |   8   |  23  |  0.0  |
|  6  |  65   |  24  |  0.0  |
|  6  |  35   |  25  |  0.0  |
|  6  |  64   |  26  |  0.0  |
+-----+-------+------+-------+
