+-----+-------+------+-------+
| qid | docno | rank | score |
|  4  |  78   |  60  |  0.0  |
|  4  |  82   |  61  |  0.0  |
|  4  |  17   |  62  |  0.0  |
|  4  |  93   |  63  |  0.0  |
|  4  |  72   |  64  |  0.0  |
|  4  |  27   |  65  |  0.0  |
|  4  |  73   |  66  |  0.0  |
|  4  |  20   |  67  |  0.0  |
|  4  |  81   |  68  |  0.0  |
|  4  |  74   |  69  |  0.0  |
|  4  |  88   |  70  |  0.0  |
|  4  |  52   |  71  |  0.0  |
|  4  |   3   |  72  |  0.0  |
|  4  |  95   |  73  |  0.0  |
|  4  |  89   |  74  |  0.0  |
|  4  |  26   |  75  |  0.0  |
|  4  |  24   |  76  |  0.0  |
|  4  |  96   |  77  |  0.0  |
|  4  |  71   |  78  |  0.0  |
|  4  |  59   |  79  |  0.0  |
|  4  |  93   |  80  |  0.0  |
|  4  |  29   |  81  |  0.0  |
|  5  |  51   |  1   |  0.0  |
|  5  |  45   |  2   |  0.0  |
|  5  |  47   |  3   |  0.0  |
|  5  |  44   |  4   |  0.0  |
|  5  |   2   |  5   |  0.0  |
|  5  |  25   |  6   |  0.0  |
|  5  |  21   |  7   |  0.0  |
|  5  |  62   |  8   |  0.0  |
|  5  |  35   |  9   |  0.0  |
|  5  |   7   |  10  |  0.0  |
|  5  |  55   |  11  |  0.0  |
|  5  |   6   |  12  |  0.0  |
|  5  |   5   |  13  |  0.0  |
|  5  |  34   |  14  |  0.0  |
|  5  |  16   |  15  |  0.0  |
|  5  |  67   |  16  |  0.0  |
|  5  |  28   |  17  |  0.0  |
|  5  |  22   |  18  |  0.0  |
|  5  |  43   |  19  |  0.0  |
|  5  |  24   |  20  |  0.0  |
|  6  |  64   |  1   |  0.0  |
|  6  |  65   |  2   |  0.0  |
|  6  |   7   |  3   |  0.0  |
|  6  |  55   |  4   |  0.0  |
|  6  |  59   |  5   |  0.0  |
|  6  |  58   |  6   |  0.0  |
|  6  |   4   |  7   |  0.0  |
|  6  |  39   |  8   |  0.0  |
|  6  |  40   |  9   |  0.0  |
|  6  |  56   |  10  |  0.0  |
|  6  |  66   |  11  |  0.0  |
|  6  |  46   |  12  |  0.0  |
|  6  |  51   |  13  |  0.0  |
|  6  |  61   |  14  |  0.0  |
|  6  |  37   |  15  |  0.0  |
|  6  |   8   |  16  |  0.0  |
|  6  |  31   |  17  |  0.0  |
|  6  |  28   |  18  |  0.0  |
|  6  |  35   |  19  |  0.0  |
|  6  |  24   |  20  |  0.0  |
|  6  |  10   |  21  |  0.0  |
|  6  |   5   |  22  |  0.0  |
|  6  |  41   |  23  |  0.0  |
|  6  |  54   |  24  |  0.0  |
|  6  |  42   |  25  |  0.0  |
|  6  |  50   |  26  |  0.0  |
+-----+-------+------+-------+
