+-----+-------+------+-------+
| qid | docno | rank | score |
|  5  |   5   |  17  |  0.0  |
|  5  |  16   |  18  |  0.0  |
|  5  |  28   |  19  |  0.0  |
|  5  |  22   |  20  |  0.0  |
|  6  |  24   |  1   | 1.047 |
|  6  |  51   |  2   | 0.498 |
|  6  |  42   |  3   | 0.481 |
|  6  |  66   |  4   | 0.318 |
|  6  |   7   |  5   | 0.314 |
|  6  |  56   |  6   | 0.303 |
|  6  |  40   |  7   | 0.287 |
|  6  |  65   |  8   |  0.0  |
|  6  |  55   |  9   |  0.0  |
|  6  |  59   |  10  |  0.0  |
|  6  |  58   |  11  |  0.0  |
|  6  |   4   |  12  |  0.0  |
|  6  |  39   |  13  |  0.0  |
|  6  |  64   |  14  |  0.0  |
|  6  |  61   |  15  |  0.0  |
|  6  |  37   |  16  |  0.0  |
|  6  |   8   |  17  |  0.0  |
|  6  |  31   |  18  |  0.0  |
|  6  |  28   |  19  |  0.0  |
|  6  |  35   |  20  |  0.0  |
|  6  |  10   |  21  |  0.0  |
|  6  |   5   |  22  |  0.0  |
|  6  |  41   |  23  |  0.0  |
|  6  |  54   |  24  |  0.0  |
|  6  |  46   |  25  |  0.0  |
|  6  |  50   |  26  |  0.0  |
+-----+-------+------+-------+
